,learning_rate,momentum,test_accuracy
0,0.01,0.1,0.9093
1,0.01,0.2,0.91
2,0.01,0.3,0.9102
3,0.01,0.4,0.9113
4,0.01,0.5,0.9117
5,0.01,0.6,0.9128
6,0.01,0.7,0.9145
7,0.01,0.8,0.9161
8,0.01,0.9,0.9158
9,0.01,1.0,0.6868
10,0.02,0.1,0.9126
11,0.02,0.2,0.9131
12,0.02,0.3,0.9139
13,0.02,0.4,0.9146
14,0.02,0.5,0.9156
15,0.02,0.6,0.9159
16,0.02,0.7,0.9159
17,0.02,0.8,0.916
18,0.02,0.9,0.8339
19,0.02,1.0,0.7047
20,0.03,0.1,0.9148
21,0.03,0.2,0.9155
22,0.03,0.3,0.9156
23,0.03,0.4,0.9162
24,0.03,0.5,0.9159
25,0.03,0.6,0.9152
26,0.03,0.7,0.9142
27,0.03,0.8,0.8321
28,0.03,0.9,0.8226
29,0.03,1.0,0.6233
30,0.04,0.1,0.9156
31,0.04,0.2,0.9159
32,0.04,0.3,0.9161
33,0.04,0.4,0.9161
34,0.04,0.5,0.9148
35,0.04,0.6,0.9128
36,0.04,0.7,0.9132
37,0.04,0.8,0.8306
38,0.04,0.9,0.828
39,0.04,1.0,0.6375
40,0.05,0.1,0.9162
41,0.05,0.2,0.9161
42,0.05,0.3,0.9156
43,0.05,0.4,0.9146
44,0.05,0.5,0.9146
45,0.05,0.6,0.914
46,0.05,0.7,0.8281
47,0.05,0.8,0.8292
48,0.05,0.9,0.7531
49,0.05,1.0,0.5827
50,0.06,0.1,0.9155
51,0.06,0.2,0.9149
52,0.06,0.3,0.9138
53,0.06,0.4,0.9145
54,0.06,0.5,0.9156
55,0.06,0.6,0.9131
56,0.06,0.7,0.8301
57,0.06,0.8,0.8333
58,0.06,0.9,0.7481
59,0.06,1.0,0.5601
60,0.07,0.1,0.9144
61,0.07,0.2,0.9135
62,0.07,0.3,0.9137
63,0.07,0.4,0.9146
64,0.07,0.5,0.9131
65,0.07,0.6,0.9127
66,0.07,0.7,0.8282
67,0.07,0.8,0.7542
68,0.07,0.9,0.7489
69,0.07,1.0,0.585
70,0.08,0.1,0.915
71,0.08,0.2,0.9139
72,0.08,0.3,0.9143
73,0.08,0.4,0.9128
74,0.08,0.5,0.9108
75,0.08,0.6,0.9045
76,0.08,0.7,0.8314
77,0.08,0.8,0.7462
78,0.08,0.9,0.7459
79,0.08,1.0,0.468
80,0.09,0.1,0.9132
81,0.09,0.2,0.9153
82,0.09,0.3,0.9138
83,0.09,0.4,0.9096
84,0.09,0.5,0.9112
85,0.09,0.6,0.8304
86,0.09,0.7,0.8231
87,0.09,0.8,0.7527
88,0.09,0.9,0.6596
89,0.09,1.0,0.3591
90,0.1,0.1,0.9136
91,0.1,0.2,0.9118
92,0.1,0.3,0.9092
93,0.1,0.4,0.9154
94,0.1,0.5,0.9173
95,0.1,0.6,0.8313
96,0.1,0.7,0.818
97,0.1,0.8,0.7505
98,0.1,0.9,0.5682
99,0.1,1.0,0.3895
100,0.11,0.1,0.9159
101,0.11,0.2,0.9137
102,0.11,0.3,0.9125
103,0.11,0.4,0.9036
104,0.11,0.5,0.832
105,0.11,0.6,0.8265
106,0.11,0.7,0.7476
107,0.11,0.8,0.7504
108,0.11,0.9,0.5398
109,0.11,1.0,0.3947
110,0.12,0.1,0.9139
111,0.12,0.2,0.9115
112,0.12,0.3,0.9075
113,0.12,0.4,0.9125
114,0.12,0.5,0.831
115,0.12,0.6,0.8298
116,0.12,0.7,0.7487
117,0.12,0.8,0.7491
118,0.12,0.9,0.4471
119,0.12,1.0,0.37
120,0.13,0.1,0.9144
121,0.13,0.2,0.9102
122,0.13,0.3,0.9129
123,0.13,0.4,0.8319
124,0.13,0.5,0.8311
125,0.13,0.6,0.8238
126,0.13,0.7,0.7516
127,0.13,0.8,0.7484
128,0.13,0.9,0.4533
129,0.13,1.0,0.3848
130,0.14,0.1,0.9135
131,0.14,0.2,0.912
132,0.14,0.3,0.9096
133,0.14,0.4,0.8264
134,0.14,0.5,0.8261
135,0.14,0.6,0.8242
136,0.14,0.7,0.7518
137,0.14,0.8,0.5631
138,0.14,0.9,0.46
139,0.14,1.0,0.3375
140,0.15,0.1,0.9129
141,0.15,0.2,0.9133
142,0.15,0.3,0.9103
143,0.15,0.4,0.8254
144,0.15,0.5,0.8315
145,0.15,0.6,0.7557
146,0.15,0.7,0.7534
147,0.15,0.8,0.5676
